Image_ID,Title,Author,Medium,Date,Location,Theme,Category,Descriptors,Link
1370,Español. Requinterona de Mulato. Produce gente blanca.,Anónimo,Óleo sobre tela,1770,"Museo Nacional de Antropología (Antes Museo Nacional de Etnología), Madrid, España","Castas,  pintura de","Temas seculares, Castas, 03 español - castizo español","Familia, Negro - negritud, Riqueza",https://arca.uniandes.edu.co/obras/1370
1376,Negro. Con Mulata. Produce Sambo.,Anónimo,Óleo sobre tela,1770,"Museo Nacional de Antropología (Antes Museo Nacional de Etnología), Madrid, España","Castas,  pintura de","Temas seculares, Castas, 06 zambo - negro mulata","Familia, Negro - negritud",https://arca.uniandes.edu.co/obras/1376
6254,Don Sebastián Escudero y su esposa Doña Juliana Merlier,Anónimo,Óleo sobre tela,1720–1770,"Colección C. Larco, Perú (sin ubicación), Perú","Parejas, pintura de","Retrato, Retrato de familias, Parejas","Esclavo, Negro - negritud, Sombrero, Tintero y pluma",https://arca.uniandes.edu.co/obras/6254
19838,Santos negros,João Batista de Figueiredo,Temple madera,1780–1790,"Igreja Nossa Senhora do Rosário, Mariana, Brasil",Santos sin identificar,"Santos, Santos Masculinos, Santos de órdenes y tradiciones, Santos sin identificar",Negro - negritud,https://arca.uniandes.edu.co/obras/19838
21018,Pedro Claver,Anónimo,Óleo sobre tela,1700–1799,"Iglesia santuario san Pedro Claver, Cartagena, Colombia",Historia de venerables,"Santos, Venerables y beatos, Historia de venerables","Evangelización, Negro - negritud",https://arca.uniandes.edu.co/obras/21018
22068,San Isidro Inquisidor,Anónimo,Óleo sobre tela,1600–1699,"Iglesia Santuario de Guápulo, Quito, Ecuador",Santos dominicos,"Santos, Santos Masculinos, Santos de órdenes y tradiciones, Santos dominicos, Santos varios dominicos","Negro - negritud, Retrato simple",https://arca.uniandes.edu.co/obras/22068
24392,San Benito de Palermo,Anónimo,Óleo sobre tela,1700–1799,"Colección particular (Barcelona), Barcelona, España",Santoral franciscano,"Santos, Santos Masculinos, Santos de órdenes y tradiciones, Santos Franciscanos, Benito de Palermo","Negro - negritud, Retrato simple",https://arca.uniandes.edu.co/obras/24392
24430,San Francisco Solano,Anónimo,Óleo sobre tela,1700–1799,"Colección particular (Barcelona), Barcelona, España",Francisco Solano,"Santos, Santos Masculinos, Santos de órdenes y tradiciones, Santos Franciscanos, Francisco Solano","Indígenas, Negro - negritud",https://arca.uniandes.edu.co/obras/24430
24703,San Benito de Palermo,Anónimo,Óleo sobre tela,1700–1799,"Colección particular (Barcelona), Barcelona, España",Santoral franciscano,"Santos, Santos Masculinos, Santos de órdenes y tradiciones, Santos Franciscanos, Benito de Palermo","Negro - negritud, Retrato simple",https://arca.uniandes.edu.co/obras/24703
26109,"Cuadro de castas: 19 Lobo, 20 China, 21 Negra, 22 Barsino, 23 Yndia, 24 Campa",Anónimo,Óleo sobre tela,1700–1799,"Banco Nacional México, Ciudad de México, México","Castas,  pintura de","Temas seculares, Castas, 20 campamulato - barsino mulato india","Negro - negritud, Retrato simple",https://arca.uniandes.edu.co/obras/26109
26110,"Cuadro de castas: 7. Yndio, 8. Zambago, 9. Barsina, 10. Coyote, 11.Yndio, 12. Mestiza",Anónimo,Óleo sobre tela,1700–1799,"Banco Nacional México, Ciudad de México, México","Castas,  pintura de","Temas seculares, Castas, 26 Veroina y zambago - español chamizo - castiza india","Negro - negritud, Retrato simple",https://arca.uniandes.edu.co/obras/26110
1364,Negros Bozales de Guinea. Yden.,Anónimo,Óleo sobre tela,1770,"Museo Nacional de Antropología (Antes Museo Nacional de Etnología), Madrid, España","Castas,  pintura de","Temas seculares, Castas, Casta por razas y trajes","Negro - negritud, Telas",https://arca.uniandes.edu.co/obras/1364
3377,De Negro y De India produce Lobo,Anónimo,Óleo sobre tela,1725,"Colección particular (Londres), Londres, Reino Unido","Castas,  pintura de","Temas seculares, Castas, 12 lobo - india negra mulato","Indígenas, Negro - negritud, Sombrero",https://arca.uniandes.edu.co/obras/3377
3406,"De Negro, y de India, China Cambuja",Miguel Cabrera,Óleo sobre tela,1763,"Museo de América, Madrid, España","Castas,  pintura de","Temas seculares, Castas, 16 cambujo - chino lobo india negro","Comida, Familia, Indígenas, Negro - negritud, Sombrero",https://arca.uniandes.edu.co/obras/3406
3425,"De Negro, e Yndia, sale Lobo",José Joaquín Magón,Óleo sobre tela,1770,"Museo Nacional de Antropología (Antes Museo Nacional de Etnología), Madrid, España","Castas,  pintura de","Temas seculares, Castas, 12 lobo - india negra mulato","Comida, Indígenas, Maíz, Negro - negritud, Paisaje, Sombrero",https://arca.uniandes.edu.co/obras/3425
3441,"De Negro, e Yndia, Lovo, mala ralea. Herodes son de bolsas y faltriqueras",José Joaquín Magón,Óleo sobre tela,1754–1760,"Colección particular (CdMx), Ciudad de México, México","Castas,  pintura de, Jesús ante Herodes","Temas seculares, Castas, 12 lobo - india negra mulato","Comida, Cotidianidad, Habitación, Indígenas, Negro - negritud, Oficio / trabajo, Platos - Vajilla",https://arca.uniandes.edu.co/obras/3441
3529,"De Negro i Española sale Mulato. Negro 1, Española 2, Mulato 3",Anónimo,Óleo sobre tela,1700–1799,"Colección particular (CdMx), Ciudad de México, México","Castas,  pintura de","Temas seculares, Castas, 05 mulato - español negra","Castillo, Colina / montaña, Familia, Juguetes, Naturaleza, Negro - negritud, Paisaje, Sombrero",https://arca.uniandes.edu.co/obras/3529
